id_produto,id_vendedor,peso_kg,data
1,9,3839,"2026-02-05"
2,9,5329,"2025-03-21"
3,12,4293,"2024-02-11"
4,6,4025,"2024-05-04"
5,1,711,"2026-02-07"
6,15,3849,"2025-05-05"
7,6,1261,"2024-02-13"
8,4,1536,"2024-05-09"
9,9,4287,"2026-01-18"
10,18,4435,"2025-09-23"
11,15,4769,"2025-12-28"
12,15,5550,"2025-07-18"
13,18,2803,"2025-05-04"
14,12,4387,"2024-03-16"
15,6,5665,"2024-02-04"
16,6,5317,"2026-01-12"
17,4,2922,"2025-03-04"
18,4,1901,"2026-03-28"
19,4,5619,"2025-04-02"
20,6,2619,"2025-10-14"
21,6,2465,"2024-01-24"
22,4,5764,"2026-04-18"
23,15,3323,"2025-08-25"
24,1,3262,"2026-03-14"
25,15,4603,"2025-05-16"
26,15,3807,"2025-08-28"
27,1,3741,"2025-10-05"
28,9,4490,"2024-09-04"
29,4,2055,"2024-05-04"
30,9,1785,"2026-03-15"
31,12,5296,"2024-10-05"
32,12,1079,"2026-05-04"
33,18,2645,"2025-07-06"
34,18,1172,"2025-12-13"
35,4,1429,"2025-07-28"
36,18,4785,"2024-10-03"
37,9,4337,"2024-11-03"
38,18,1440,"2025-10-30"
39,1,5916,"2024-01-10"
40,1,2267,"2024-01-25"
41,4,5492,"2024-10-21"
42,6,2862,"2024-09-05"
43,15,623,"2024-05-07"
44,9,1883,"2025-05-19"
45,4,2523,"2024-10-05"
46,1,649,"2024-03-19"
47,9,5585,"2025-03-02"
48,1,125,"2025-02-17"
49,12,21,"2024-02-21"
50,6,4239,"2024-08-04"
51,15,3366,"2024-06-17"
52,12,4516,"2024-01-23"
53,9,2551,"2024-09-17"
54,1,5917,"2026-04-03"
55,18,4288,"2024-09-09"
56,12,2342,"2025-09-23"
57,1,4522,"2025-12-28"
58,18,5335,"2026-03-15"
59,9,991,"2025-08-17"
60,12,1367,"2025-08-14"
61,9,3173,"2024-03-17"
62,15,5340,"2025-01-29"
63,4,1520,"2026-04-17"
64,6,266,"2025-04-09"
65,9,4287,"2025-05-09"
66,18,1211,"2024-08-26"
67,18,4000,"2025-04-14"
68,12,688,"2025-01-17"
69,9,5319,"2025-11-10"
70,1,562,"2024-10-02"
71,15,838,"2025-07-31"
72,6,3419,"2024-06-04"
73,9,1112,"2024-11-30"
74,6,1467,"2024-02-12"
75,15,5694,"2026-05-13"
76,18,1888,"2024-02-07"
77,1,3145,"2025-11-30"
78,4,1569,"2025-10-20"
79,1,728,"2025-08-05"
80,1,3652,"2025-11-07"
81,18,1396,"2024-02-20"
82,12,348,"2025-05-03"
83,4,1547,"2024-06-29"
84,15,4760,"2026-02-22"
85,1,2056,"2025-01-23"
86,12,4021,"2025-11-10"
87,15,5035,"2026-03-16"
88,6,1262,"2024-06-23"
89,18,5136,"2025-05-18"
90,4,540,"2025-01-05"
91,1,3089,"2025-12-12"
92,18,3206,"2026-03-09"
93,9,1263,"2024-02-13"
94,4,693,"2025-11-14"
95,12,4139,"2025-03-01"
96,18,5062,"2025-11-27"
97,9,3907,"2025-03-27"
98,18,4537,"2024-07-19"
99,9,4948,"2024-02-14"
100,9,2093,"2025-03-25"
